,Hospital,Phone Number,Location,Verified,Payment Mode,COUNTRY,STATE,CITY
0,Santa Clara Valley Medical Center,(408) 885-5000,"751 S Bascom Ave
San Jose, CA 95128",YES,CASH,USA,California,San Jose
1,Santa Clara Valley Medical Center,(408) 885-5000,"751 S Bascom Ave
San Jose, CA 95128",YES,CASH,USA,California,San Jose
2,Regional Medical Center Of San Jose,(408) 259-5000,"225 N Jackson Ave
San Jose, CA 95116",YES,CASH,USA,California,San Jose
3,O'Connor Hospital,(408) 947-2500,"2105 Forest Ave
San Jose, CA 95128",YES,CASH,USA,California,San Jose
4,Kaiser Permanente Santa Clara Medical Center,(408) 236-6400,"700 Lawrence Expy
Santa Clara, CA 95051",YES,CASH,USA,California,San Jose
5,El Camino Health - Los Gatos Campus,(408) 378-6131,"815 Pollard Rd
Los Gatos, CA 95032",YES,CASH,USA,California,San Jose
6,Good Samaritan Hospital,(408) 559-2011,"2425 Samaritan Dr
San Jose, CA 95124",YES,CASH,USA,California,San Jose
7,Kaiser Permanente San Jose Medical Center,(408) 972-3000,"250 Hospital Pkwy
San Jose, CA 95119",YES,CASH,USA,California,San Jose
8,Mountain View Campus (El Camino Hospital),(650) 940-7000,"2500 Grant Rd
Mountain View, CA 94040",YES,CASH,USA,California,San Jose
9,Stanford Health Care,(650) 723-4000,"300 Pasteur Dr
Stanford, CA 94305",YES,CASH,USA,California,San Jose
10,Washington Hospital,(510) 797-1111,"2000 Mowry Ave
Fremont, CA 94538",YES,CASH,USA,California,San Jose
11,Kaiser Permanente Redwood City Medical Center,(650) 299-2000,"1100 Veterans Blvd
Redwood City, CA 94063",YES,CASH,USA,California,San Jose
12,Sequoia Hospital,(650) 410-7514,"170 Alameda De Las Pulgas
Redwood City, CA 94062",YES,CASH,USA,California,San Jose
13,Mills Health Center,(650) 696-5400,"100 S San Mateo Dr
San Mateo, CA 94401",YES,CASH,USA,California,San Jose
14,Stanford Health Care Valleycare,(925) 847-3000,"5555 W Las Positas Blvd
Pleasanton, CA 94588",YES,CASH,USA,California,San Jose
15,Eden Medical Center,(510) 537-1234,"20103 Lake Chabot Rd
Castro Valley, CA 94546",YES,CASH,USA,California,San Jose
16,Dominican Hospital,(831) 204-6616,"1555 Soquel Dr
Santa Cruz, CA 95065",YES,CASH,USA,California,San Jose
17,Mills-peninsula Medical Center,(650) 696-5400,"1501 Trousdale Dr
Burlingame, CA 94010",YES,CASH,USA,California,San Jose
18,Kaiser Permanente San Leandro Medical Center,(510) 454-1000,"2500 Merced St
San Leandro, CA 94577",YES,CASH,USA,California,San Jose
19,Kaiser Permanente South San Francisco Medical Center,(650) 742-2000,"1200 El Camino Real
South San Francisco, CA 94080",YES,CASH,USA,California,San Jose
20,Sutter Maternity and Surgery Center Of Santa Cruz,(831) 477-2200,"2900 Chanticleer Ave
Santa Cruz, CA 95065",YES,CASH,USA,California,San Jose
21,Alta Bates Summit Medical Center,(510) 655-4000,"350 Hawthorne Ave
Oakland, CA 94609",YES,CASH,USA,California,San Jose
22,Lucile Packard Children's Hospital Stanford,(650) 497-8000,"725 Welch Rd
Palo Alto, CA 94304",YES,CASH,USA,California,San Jose
23,Menlo Park Surgical Hospital,(650) 324-8500,"570 Willow Rd
Menlo Park, CA 94025",YES,CASH,USA,California,San Jose
24,Alta Bates Summit Medical Center - Alta Bates Campus,(510) 204-4444,"2450 Ashby Ave
Berkeley, CA 94705",YES,CASH,USA,California,San Jose
25,"John Muir Health, Walnut Creek Medical Center",(925) 939-3000,"1601 Ygnacio Valley Rd
Walnut Creek, CA 94598",YES,CASH,USA,California,San Jose
26,UCSF Medical Center at Parnassus,(415) 476-1000,"400 Parnassus Ave
San Francisco, CA 94143",YES,CASH,USA,California,San Jose
27,California Pacific Medical Center - Van Ness Campus,(415) 600-6000,"1101 Van Ness Ave
San Francisco, CA 94109",YES,CASH,USA,California,San Jose
28,St. Mary's Medical Center,(415) 668-1000,"450 Stanyan St
San Francisco, CA 94117",YES,CASH,USA,California,San Jose
29,Kaiser Permanente San Francisco Medical Center,(415) 833-2000,"2425 Geary Blvd
San Francisco, CA 94115",YES,CASH,USA,California,San Jose
30,UCSF Medical Center at Mount Zion,(415) 567-6600,"1600 Divisadero St
San Francisco, CA 94115",YES,CASH,USA,California,San Jose
31,Sutter Tracy Community Hospital,(209) 835-1500,"1420 N Tracy Blvd
Tracy, CA 95376",YES,CASH,USA,California,San Jose
32,California Pacific Medical Center - California Campus,(415) 600-6000,"3700 California St
San Francisco, CA 94118",YES,CASH,USA,California,San Jose
33,Kaiser Permanente Antioch Medical Center,(925) 813-6500,"4501 Sand Creek Rd
Antioch, CA 94531",YES,CASH,USA,California,San Jose
34,Kaiser Permanente Oakland Medical Center,(510) 752-1000,"3600 Broadway
Oakland, CA 94611",YES,CASH,USA,California,San Jose
35,Saint Francis Memorial Hospital,(415) 582-4265,"900 Hyde St
San Francisco, CA 94109",YES,CASH,USA,California,San Jose
0,"John Muir Health, Concord Medical Center",(925) 682-8200,"2540 East St
Concord, CA 94520",YES,CASH,USA,California,San Jose
1,"John Muir Health, Concord Medical Center",(925) 682-8200,"2540 East St
Concord, CA 94520",YES,CASH,USA,California,San Jose
2,San Mateo Medical Center,(650) 573-2222,"222 W 39th Ave
San Mateo, CA 94403",YES,CASH,USA,California,San Jose
3,Kaiser Permanente Manteca Medical Center,(209) 825-3700,"1777 W Yosemite Ave
Manteca, CA 95337",YES,CASH,USA,California,San Jose
4,Kaiser Permanente Walnut Creek Medical Center,(925) 295-4000,"1425 S Main St
Walnut Creek, CA 94596",YES,CASH,USA,California,San Jose
5,California Pacific Medical Center - Davies Campus,(415) 600-6000,"Castro and Duboce Streets
San Francisco, CA 94114",YES,CASH,USA,California,San Jose
6,California Pacific Medical Center Mission Bernal,(415) 600-6000,"3555 Cesar Chavez
San Francisco, CA 94110",YES,CASH,USA,California,San Jose
7,Sutter Delta Medical Center,(925) 779-7200,"3901 Lone Tree Way
Antioch, CA 94509",YES,CASH,USA,California,San Jose
8,Kaiser Permanente Richmond Medical Center,(510) 307-1500,"901 Nevin Ave
Richmond, CA 94801",YES,CASH,USA,California,San Jose
9,Saint Rose Hospital,(510) 782-6200,"27200 Calaroga Ave
Hayward, CA 94545",YES,CASH,USA,California,San Jose
10,Zuckerberg San Francisco General Hospital and Trauma Center,(415) 206-8000,"1001 Potrero Ave
San Francisco, CA 94110",YES,CASH,USA,California,San Jose
11,Alameda Hospital,(510) 522-3700,"2070 Clinton Ave
Alameda, CA 94501",YES,CASH,USA,California,San Jose
12,Saint Louise Regional Hospital,(408) 848-2000,"9400 N Name Uno
Gilroy, CA 95020",YES,CASH,USA,California,San Jose
13,Chinese Hospital,(415) 982-2400,"845 Jackson St
San Francisco, CA 94133",YES,CASH,USA,California,San Jose
14,Watsonville Community Hospital,(831) 724-4741,"75 Neilson St
Watsonville, CA 95076",YES,CASH,USA,California,San Jose
15,San Leandro Hospital,(510) 357-6500,"13855 E 14th St
San Leandro, CA 94578",YES,CASH,USA,California,San Jose
16,San Ramon Regional Medical Center,(925) 275-9200,"6001 Norris Canyon Rd
San Ramon, CA 94583",YES,CASH,USA,California,San Jose
17,Contra Costa Regional Medical Center,(925) 370-5000,"2500 Alhambra Ave
Martinez, CA 94553",YES,CASH,USA,California,San Jose
18,Salinas Valley Memorial Hospital,(831) 757-4333,"450 E Romie Ln
Salinas, CA 93901",YES,CASH,USA,California,San Jose
19,Seton Medical Center,(650) 992-4000,"1900 Sullivan Ave
Daly City, CA 94015",YES,CASH,USA,California,San Jose
20,Ucsf Benioff Children's Hospital Oakland,(510) 428-3000,"747 52nd St
Oakland, CA 94609",YES,CASH,USA,California,San Jose
21,St Marys Medical Center,(628) 246-0569,"450 Stanyan St
San Francisco, CA 94117",YES,CASH,USA,California,San Jose
22,Hazel Hawkins Memorial Hospital,(831) 637-5711,"911 Sunset Dr
Hollister, CA 95023",YES,CASH,USA,California,San Jose
23,Natividad Medical Center,(831) 755-4111,"1441 Constitution Blvd
Salinas, CA 93906",YES,CASH,USA,California,San Jose
